idDetalleCompra,idCompra,idProduc,nomProduc,precioProduc,CantidadProduc,Subtotal
42,6,40,Cinta Teflon - Lote 40,1.75,92,161.0
43,7,33,"Caño Jardin Bronce 1/2"" - Lote 33",7.9,53,418.7
44,7,23,"Codo PVC 4"" - Lote 23",2.37,28,66.36
45,7,24,Pegamento PVC Oatey - Lote 24,18.6,56,1041.6
46,7,35,Mezcladora Monocomando - Lote 35,112.02,58,6497.16
47,7,42,Tubo Abasto - Lote 42,4.01,87,348.87
48,7,36,"Tubo PVC Desague 4"" - Lote 36",19.22,58,1114.76
49,8,17,Mezcladora Ducha Italgrif - Lote 17,81.35,34,2765.9
50,8,48,"Caño Jardin Bronce 1/2"" - Lote 48",7.97,90,717.3
51,8,19,Llave Angular Cromada - Lote 19,6.51,97,631.47
52,8,22,"Tubo PVC Agua 1/2"" - Lote 22",8.92,46,410.32
53,8,17,Mezcladora Ducha Italgrif - Lote 17,71.72,84,6024.48
54,9,41,Sifón Botella - Lote 41,9.99,74,739.26
55,9,3,"Caño Jardin Bronce 1/2"" - Lote 3",8.5,20,170.0
56,9,9,Pegamento PVC Oatey - Lote 9,18.63,53,987.39
57,9,29,Martillo - Lote 29,16.03,90,1442.7
58,10,8,"Codo PVC 4"" - Lote 8",2.41,29,69.89
59,10,45,Guantes - Lote 45,4.87,39,189.93
60,10,24,Pegamento PVC Oatey - Lote 24,21.37,94,2008.78
61,11,3,"Caño Jardin Bronce 1/2"" - Lote 3",8.59,59,506.81
62,11,3,"Caño Jardin Bronce 1/2"" - Lote 3",8.13,65,528.45
63,11,16,Llave Lavatorio Vainsa - Lote 16,25.68,33,847.44
64,11,36,"Tubo PVC Desague 4"" - Lote 36",19.45,72,1400.4
65,11,48,"Caño Jardin Bronce 1/2"" - Lote 48",10.28,39,400.92
66,12,12,Tubo Abasto - Lote 12,4.04,72,290.88
67,12,48,"Caño Jardin Bronce 1/2"" - Lote 48",9.85,62,610.7
68,12,27,Tubo Abasto - Lote 27,4.43,51,225.93
69,12,45,Guantes - Lote 45,4.61,33,152.13
70,12,3,"Caño Jardin Bronce 1/2"" - Lote 3",8.17,80,653.6
71,13,20,Mezcladora Monocomando - Lote 20,98.03,49,4803.47
72,13,43,Hoja Sierra - Lote 43,2.9,44,127.6
73,13,18,"Caño Jardin Bronce 1/2"" - Lote 18",10.4,28,291.2
74,13,18,"Caño Jardin Bronce 1/2"" - Lote 18",9.42,64,602.88
75,13,26,Sifón Botella - Lote 26,8.49,88,747.12
76,13,2,Mezcladora Ducha Italgrif - Lote 2,81.05,34,2755.7
77,13,17,Mezcladora Ducha Italgrif - Lote 17,73.93,42,3105.06
78,13,17,Mezcladora Ducha Italgrif - Lote 17,62.6,24,1502.4
79,14,47,Mezcladora Ducha Italgrif - Lote 47,70.47,60,4228.2
80,14,33,"Caño Jardin Bronce 1/2"" - Lote 33",8.66,34,294.44
81,14,37,"Tubo PVC Agua 1/2"" - Lote 37",7.71,44,339.24
82,14,46,Llave Lavatorio Vainsa - Lote 46,22.52,75,1689.0
83,14,35,Mezcladora Monocomando - Lote 35,103.11,45,4639.95
84,14,5,Mezcladora Monocomando - Lote 5,112.43,62,6970.66
85,14,43,Hoja Sierra - Lote 43,3.22,35,112.7
86,14,20,Mezcladora Monocomando - Lote 20,101.13,84,8494.92
87,15,26,Sifón Botella - Lote 26,9.16,57,522.12
88,15,13,Hoja Sierra - Lote 13,3.16,73,230.68
89,15,25,Cinta Teflon - Lote 25,1.56,42,65.52
90,15,20,Mezcladora Monocomando - Lote 20,109.73,71,7790.83
91,15,1,Llave Lavatorio Vainsa - Lote 1,25.08,58,1454.64
92,15,28,Hoja Sierra - Lote 28,3.11,94,292.34
93,15,21,"Tubo PVC Desague 4"" - Lote 21",16.47,79,1301.13
94,15,44,Martillo - Lote 44,15.06,47,707.82
95,16,19,Llave Angular Cromada - Lote 19,7.59,85,645.15
96,16,40,Cinta Teflon - Lote 40,1.3,62,80.6
97,16,49,Llave Angular Cromada - Lote 49,7.61,50,380.5
98,16,15,Guantes - Lote 15,4.24,45,190.8
99,17,31,Llave Lavatorio Vainsa - Lote 31,30.15,98,2954.7
100,17,5,Mezcladora Monocomando - Lote 5,104.92,78,8183.76
101,17,41,Sifón Botella - Lote 41,8.08,93,751.44
102,17,45,Guantes - Lote 45,4.79,69,330.51
103,17,16,Llave Lavatorio Vainsa - Lote 16,28.4,38,1079.2
104,17,1,Llave Lavatorio Vainsa - Lote 1,29.51,33,973.83
105,18,45,Guantes - Lote 45,4.74,86,407.64
106,18,36,"Tubo PVC Desague 4"" - Lote 36",19.14,51,976.14
107,18,8,"Codo PVC 4"" - Lote 8",1.84,78,143.52
108,18,30,Guantes - Lote 30,5.58,87,485.46
109,18,39,Pegamento PVC Oatey - Lote 39,24.15,60,1449.0
110,19,36,"Tubo PVC Desague 4"" - Lote 36",19.02,77,1464.54
111,19,48,"Caño Jardin Bronce 1/2"" - Lote 48",8.85,80,708.0
112,19,49,Llave Angular Cromada - Lote 49,8.02,51,409.02
113,19,18,"Caño Jardin Bronce 1/2"" - Lote 18",8.95,86,769.7
114,19,16,Llave Lavatorio Vainsa - Lote 16,26.46,55,1455.3
115,19,46,Llave Lavatorio Vainsa - Lote 46,24.61,56,1378.16
116,19,22,"Tubo PVC Agua 1/2"" - Lote 22",9.5,60,570.0
117,19,6,"Tubo PVC Desague 4"" - Lote 6",14.84,37,549.08
118,19,25,Cinta Teflon - Lote 25,1.6,39,62.4
119,20,27,Tubo Abasto - Lote 27,4.87,62,301.94
120,20,27,Tubo Abasto - Lote 27,4.33,27,116.91
121,20,27,Tubo Abasto - Lote 27,5.45,69,376.05
122,20,38,"Codo PVC 4"" - Lote 38",2.35,22,51.7
123,20,49,Llave Angular Cromada - Lote 49,6.91,93,642.63
124,20,1,Llave Lavatorio Vainsa - Lote 1,25.19,65,1637.35
125,20,25,Cinta Teflon - Lote 25,1.52,73,110.96
126,20,48,"Caño Jardin Bronce 1/2"" - Lote 48",9.9,89,881.1
127,20,15,Guantes - Lote 15,4.35,82,356.7
128,21,2,Mezcladora Ducha Italgrif - Lote 2,68.07,69,4696.83
129,21,44,Martillo - Lote 44,16.12,71,1144.52
130,21,30,Guantes - Lote 30,5.57,36,200.52
131,21,35,Mezcladora Monocomando - Lote 35,122.65,23,2820.95
132,21,38,"Codo PVC 4"" - Lote 38",2.21,92,203.32
133,21,6,"Tubo PVC Desague 4"" - Lote 6",14.76,74,1092.24
134,21,30,Guantes - Lote 30,4.08,43,175.44
135,21,25,Cinta Teflon - Lote 25,1.36,61,82.96
136,21,21,"Tubo PVC Desague 4"" - Lote 21",18.26,63,1150.38
137,21,25,Cinta Teflon - Lote 25,1.63,55,89.65
138,22,6,"Tubo PVC Desague 4"" - Lote 6",14.11,80,1128.8
139,22,35,Mezcladora Monocomando - Lote 35,126.0,26,3276.0
140,22,23,"Codo PVC 4"" - Lote 23",2.21,48,106.08
141,22,50,Mezcladora Monocomando - Lote 50,117.15,25,2928.75
142,22,16,Llave Lavatorio Vainsa - Lote 16,30.05,45,1352.25
143,22,40,Cinta Teflon - Lote 40,1.37,39,53.43
144,22,31,Llave Lavatorio Vainsa - Lote 31,27.58,34,937.72
145,23,45,Guantes - Lote 45,5.23,52,271.96
146,23,11,Sifón Botella - Lote 11,9.32,97,904.04
147,23,48,"Caño Jardin Bronce 1/2"" - Lote 48",9.83,34,334.22
148,23,11,Sifón Botella - Lote 11,7.82,59,461.38
149,23,2,Mezcladora Ducha Italgrif - Lote 2,73.82,59,4355.38
150,23,25,Cinta Teflon - Lote 25,1.72,70,120.4
151,23,13,Hoja Sierra - Lote 13,3.09,29,89.61
152,23,41,Sifón Botella - Lote 41,7.81,51,398.31
153,23,50,Mezcladora Monocomando - Lote 50,120.61,58,6995.38
154,23,39,Pegamento PVC Oatey - Lote 39,23.07,35,807.45
155,24,23,"Codo PVC 4"" - Lote 23",2.05,88,180.4
156,24,24,Pegamento PVC Oatey - Lote 24,21.04,28,589.12
157,24,22,"Tubo PVC Agua 1/2"" - Lote 22",9.38,21,196.98
158,25,28,Hoja Sierra - Lote 28,3.14,66,207.24
159,25,30,Guantes - Lote 30,4.7,39,183.3
160,25,47,Mezcladora Ducha Italgrif - Lote 47,83.17,86,7152.62
161,25,18,"Caño Jardin Bronce 1/2"" - Lote 18",9.92,98,972.16
162,26,30,Guantes - Lote 30,5.32,75,399.0
163,26,38,"Codo PVC 4"" - Lote 38",1.98,54,106.92
164,26,16,Llave Lavatorio Vainsa - Lote 16,25.01,31,775.31
165,26,29,Martillo - Lote 29,16.25,51,828.75
166,26,37,"Tubo PVC Agua 1/2"" - Lote 37",8.87,98,869.26
167,26,22,"Tubo PVC Agua 1/2"" - Lote 22",8.38,23,192.74
168,26,21,"Tubo PVC Desague 4"" - Lote 21",16.73,43,719.39
169,26,23,"Codo PVC 4"" - Lote 23",1.99,53,105.47
170,26,39,Pegamento PVC Oatey - Lote 39,21.39,55,1176.45
171,26,34,Llave Angular Cromada - Lote 34,6.21,44,273.24
172,27,36,"Tubo PVC Desague 4"" - Lote 36",17.87,50,893.5
173,27,42,Tubo Abasto - Lote 42,4.72,82,387.04
174,27,2,Mezcladora Ducha Italgrif - Lote 2,67.06,31,2078.86
175,27,26,Sifón Botella - Lote 26,8.42,51,429.42
176,27,38,"Codo PVC 4"" - Lote 38",2.08,67,139.36
177,27,34,Llave Angular Cromada - Lote 34,7.02,64,449.28
178,27,48,"Caño Jardin Bronce 1/2"" - Lote 48",8.49,90,764.1
179,27,45,Guantes - Lote 45,4.43,78,345.54
180,27,17,Mezcladora Ducha Italgrif - Lote 17,62.9,49,3082.1
181,27,13,Hoja Sierra - Lote 13,2.62,60,157.2
182,28,13,Hoja Sierra - Lote 13,3.24,47,152.28
183,28,18,"Caño Jardin Bronce 1/2"" - Lote 18",10.43,95,990.85
184,28,34,Llave Angular Cromada - Lote 34,6.68,96,641.28
185,28,7,"Tubo PVC Agua 1/2"" - Lote 7",7.83,44,344.52
186,28,24,Pegamento PVC Oatey - Lote 24,19.62,42,824.04
187,29,18,"Caño Jardin Bronce 1/2"" - Lote 18",10.42,25,260.5
188,29,36,"Tubo PVC Desague 4"" - Lote 36",17.91,57,1020.87
189,29,9,Pegamento PVC Oatey - Lote 9,18.22,82,1494.04
190,29,1,Llave Lavatorio Vainsa - Lote 1,25.06,93,2330.58
191,29,31,Llave Lavatorio Vainsa - Lote 31,25.57,76,1943.32
192,30,31,Llave Lavatorio Vainsa - Lote 31,29.9,34,1016.6
193,30,26,Sifón Botella - Lote 26,7.72,82,633.04
194,30,41,Sifón Botella - Lote 41,7.96,26,206.96
195,30,37,"Tubo PVC Agua 1/2"" - Lote 37",7.24,58,419.92
196,30,16,Llave Lavatorio Vainsa - Lote 16,27.52,35,963.2
197,30,27,Tubo Abasto - Lote 27,4.95,97,480.15
198,30,40,Cinta Teflon - Lote 40,1.64,48,78.72
199,31,29,Martillo - Lote 29,16.8,58,974.4
200,31,28,Hoja Sierra - Lote 28,3.07,59,181.13
201,31,4,Llave Angular Cromada - Lote 4,8.3,98,813.4
202,31,7,"Tubo PVC Agua 1/2"" - Lote 7",8.75,46,402.5
203,31,17,Mezcladora Ducha Italgrif - Lote 17,63.77,30,1913.1
204,31,12,Tubo Abasto - Lote 12,4.12,90,370.8
205,31,1,Llave Lavatorio Vainsa - Lote 1,26.55,72,1911.6
206,31,39,Pegamento PVC Oatey - Lote 39,19.54,80,1563.2
207,31,15,Guantes - Lote 15,5.13,56,287.28
208,31,45,Guantes - Lote 45,4.11,78,320.58
209,32,41,Sifón Botella - Lote 41,9.48,95,900.6
210,32,13,Hoja Sierra - Lote 13,2.61,74,193.14
211,32,15,Guantes - Lote 15,5.45,39,212.55
212,32,10,Cinta Teflon - Lote 10,1.28,29,37.12
213,32,20,Mezcladora Monocomando - Lote 20,116.96,96,11228.16
214,32,37,"Tubo PVC Agua 1/2"" - Lote 37",8.23,56,460.88
215,32,30,Guantes - Lote 30,5.12,58,296.96
216,33,29,Martillo - Lote 29,15.49,30,464.7
217,33,28,Hoja Sierra - Lote 28,3.1,61,189.1
218,33,2,Mezcladora Ducha Italgrif - Lote 2,65.49,31,2030.19
219,33,44,Martillo - Lote 44,15.44,93,1435.92
220,33,2,Mezcladora Ducha Italgrif - Lote 2,73.83,54,3986.82
221,33,49,Llave Angular Cromada - Lote 49,7.13,42,299.46
222,33,42,Tubo Abasto - Lote 42,5.47,76,415.72
223,33,12,Tubo Abasto - Lote 12,4.7,94,441.8
224,33,32,Mezcladora Ducha Italgrif - Lote 32,71.28,31,2209.68
225,33,27,Tubo Abasto - Lote 27,4.51,62,279.62
226,34,22,"Tubo PVC Agua 1/2"" - Lote 22",8.94,72,643.68
227,34,19,Llave Angular Cromada - Lote 19,7.95,71,564.45
228,34,36,"Tubo PVC Desague 4"" - Lote 36",16.55,24,397.2
229,34,21,"Tubo PVC Desague 4"" - Lote 21",15.81,52,822.12
230,34,50,Mezcladora Monocomando - Lote 50,121.14,71,8600.94
231,35,27,Tubo Abasto - Lote 27,4.3,26,111.8
232,35,24,Pegamento PVC Oatey - Lote 24,22.8,99,2257.2
233,35,41,Sifón Botella - Lote 41,9.78,76,743.28
234,35,14,Martillo - Lote 14,15.25,54,823.5
235,35,19,Llave Angular Cromada - Lote 19,8.11,76,616.36
236,35,32,Mezcladora Ducha Italgrif - Lote 32,60.69,35,2124.15
237,35,41,Sifón Botella - Lote 41,9.9,97,960.3
238,35,46,Llave Lavatorio Vainsa - Lote 46,25.3,40,1012.0
239,35,1,Llave Lavatorio Vainsa - Lote 1,26.17,90,2355.3
240,35,15,Guantes - Lote 15,4.74,34,161.16
241,36,32,Mezcladora Ducha Italgrif - Lote 32,72.21,57,4115.97
242,36,18,"Caño Jardin Bronce 1/2"" - Lote 18",10.0,73,730.0
243,36,31,Llave Lavatorio Vainsa - Lote 31,26.61,51,1357.11
244,36,10,Cinta Teflon - Lote 10,1.35,69,93.15
245,36,39,Pegamento PVC Oatey - Lote 39,22.72,85,1931.2
246,37,18,"Caño Jardin Bronce 1/2"" - Lote 18",8.52,73,621.96
247,37,33,"Caño Jardin Bronce 1/2"" - Lote 33",9.96,54,537.84
248,37,19,Llave Angular Cromada - Lote 19,8.01,58,464.58
249,37,38,"Codo PVC 4"" - Lote 38",2.36,82,193.52
250,38,23,"Codo PVC 4"" - Lote 23",2.14,62,132.68
251,38,35,Mezcladora Monocomando - Lote 35,106.39,68,7234.52
252,38,21,"Tubo PVC Desague 4"" - Lote 21",19.49,44,857.56
253,38,16,Llave Lavatorio Vainsa - Lote 16,25.95,93,2413.35
254,38,50,Mezcladora Monocomando - Lote 50,91.57,72,6593.04
255,38,48,"Caño Jardin Bronce 1/2"" - Lote 48",9.62,80,769.6
256,38,25,Cinta Teflon - Lote 25,1.74,69,120.06
257,38,42,Tubo Abasto - Lote 42,4.79,39,186.81
258,38,3,"Caño Jardin Bronce 1/2"" - Lote 3",9.01,36,324.36
259,38,38,"Codo PVC 4"" - Lote 38",2.36,62,146.32
260,39,34,Llave Angular Cromada - Lote 34,6.04,78,471.12
261,39,10,Cinta Teflon - Lote 10,1.69,72,121.68
262,39,10,Cinta Teflon - Lote 10,1.48,29,42.92
263,39,17,Mezcladora Ducha Italgrif - Lote 17,74.96,63,4722.48
264,40,22,"Tubo PVC Agua 1/2"" - Lote 22",8.06,88,709.28
265,40,21,"Tubo PVC Desague 4"" - Lote 21",18.02,100,1802.0
266,40,49,Llave Angular Cromada - Lote 49,8.09,82,663.38
267,40,3,"Caño Jardin Bronce 1/2"" - Lote 3",7.71,99,763.29
268,41,48,"Caño Jardin Bronce 1/2"" - Lote 48",8.8,31,272.8
269,41,7,"Tubo PVC Agua 1/2"" - Lote 7",8.24,32,263.68
270,41,45,Guantes - Lote 45,5.45,58,316.1
271,41,3,"Caño Jardin Bronce 1/2"" - Lote 3",9.89,61,603.29
272,41,19,Llave Angular Cromada - Lote 19,6.9,65,448.5
273,41,10,Cinta Teflon - Lote 10,1.52,51,77.52
274,42,11,Sifón Botella - Lote 11,7.74,42,325.08
275,42,25,Cinta Teflon - Lote 25,1.59,99,157.41
276,42,32,Mezcladora Ducha Italgrif - Lote 32,63.43,94,5962.42
277,42,30,Guantes - Lote 30,4.74,52,246.48
278,42,43,Hoja Sierra - Lote 43,3.4,21,71.4
279,43,44,Martillo - Lote 44,13.29,89,1182.81
280,43,29,Martillo - Lote 29,17.44,64,1116.16
281,43,20,Mezcladora Monocomando - Lote 20,114.85,74,8498.9
282,43,30,Guantes - Lote 30,4.32,58,250.56
283,43,25,Cinta Teflon - Lote 25,1.3,81,105.3
284,43,25,Cinta Teflon - Lote 25,1.43,93,132.99
285,43,19,Llave Angular Cromada - Lote 19,6.05,57,344.85
286,44,1,Llave Lavatorio Vainsa - Lote 1,30.29,92,2786.68
287,44,50,Mezcladora Monocomando - Lote 50,122.78,26,3192.28
288,44,48,"Caño Jardin Bronce 1/2"" - Lote 48",10.0,83,830.0
289,44,19,Llave Angular Cromada - Lote 19,7.46,49,365.54
290,44,23,"Codo PVC 4"" - Lote 23",2.2,48,105.6
291,44,40,Cinta Teflon - Lote 40,1.59,52,82.68
292,44,47,Mezcladora Ducha Italgrif - Lote 47,75.08,37,2777.96
293,45,29,Martillo - Lote 29,15.4,24,369.6
294,45,47,Mezcladora Ducha Italgrif - Lote 47,62.16,36,2237.76
295,45,19,Llave Angular Cromada - Lote 19,7.79,61,475.19
296,45,12,Tubo Abasto - Lote 12,4.21,45,189.45
297,45,35,Mezcladora Monocomando - Lote 35,109.11,66,7201.26
298,45,18,"Caño Jardin Bronce 1/2"" - Lote 18",8.27,41,339.07
299,45,31,Llave Lavatorio Vainsa - Lote 31,29.22,57,1665.54
300,46,30,Guantes - Lote 30,4.23,29,122.67
301,46,15,Guantes - Lote 15,5.55,70,388.5
302,46,36,"Tubo PVC Desague 4"" - Lote 36",14.51,66,957.66
303,46,26,Sifón Botella - Lote 26,8.29,21,174.09
304,47,24,Pegamento PVC Oatey - Lote 24,21.59,53,1144.27
305,47,41,Sifón Botella - Lote 41,7.83,67,524.61
306,47,15,Guantes - Lote 15,4.04,80,323.2
307,47,36,"Tubo PVC Desague 4"" - Lote 36",19.13,61,1166.93
308,47,15,Guantes - Lote 15,5.02,28,140.56
309,47,30,Guantes - Lote 30,5.04,58,292.32
310,47,8,"Codo PVC 4"" - Lote 8",1.78,37,65.86
311,47,3,"Caño Jardin Bronce 1/2"" - Lote 3",10.49,58,608.42
312,47,8,"Codo PVC 4"" - Lote 8",1.91,32,61.12
313,47,35,Mezcladora Monocomando - Lote 35,103.99,37,3847.63
314,48,38,"Codo PVC 4"" - Lote 38",2.37,39,92.43
315,48,42,Tubo Abasto - Lote 42,5.33,32,170.56
316,48,40,Cinta Teflon - Lote 40,1.72,72,123.84
317,48,18,"Caño Jardin Bronce 1/2"" - Lote 18",9.57,24,229.68
318,48,14,Martillo - Lote 14,14.72,76,1118.72
319,48,16,Llave Lavatorio Vainsa - Lote 16,23.39,66,1543.74
320,48,44,Martillo - Lote 44,15.22,67,1019.74
321,48,42,Tubo Abasto - Lote 42,4.1,65,266.5
322,48,18,"Caño Jardin Bronce 1/2"" - Lote 18",10.4,44,457.6
323,49,43,Hoja Sierra - Lote 43,3.14,47,147.58
324,49,39,Pegamento PVC Oatey - Lote 39,17.85,22,392.7
325,49,22,"Tubo PVC Agua 1/2"" - Lote 22",9.77,51,498.27
326,49,37,"Tubo PVC Agua 1/2"" - Lote 37",7.19,46,330.74
327,50,38,"Codo PVC 4"" - Lote 38",2.32,47,109.04
328,50,15,Guantes - Lote 15,5.24,62,324.88
329,50,39,Pegamento PVC Oatey - Lote 39,19.44,20,388.8
330,50,10,Cinta Teflon - Lote 10,1.52,36,54.72
331,50,12,Tubo Abasto - Lote 12,5.06,34,172.04
332,50,2,Mezcladora Ducha Italgrif - Lote 2,60.36,36,2172.96
333,51,2,Mezcladora Ducha Italgrif - Lote 2,66.37,42,2787.54
334,51,9,Pegamento PVC Oatey - Lote 9,21.18,73,1546.14
335,51,48,"Caño Jardin Bronce 1/2"" - Lote 48",8.93,28,250.04
336,51,50,Mezcladora Monocomando - Lote 50,108.48,66,7159.68
337,51,7,"Tubo PVC Agua 1/2"" - Lote 7",8.41,77,647.57
338,51,40,Cinta Teflon - Lote 40,1.61,25,40.25
339,51,43,Hoja Sierra - Lote 43,2.8,86,240.8
340,51,42,Tubo Abasto - Lote 42,4.1,23,94.3
341,52,28,Hoja Sierra - Lote 28,2.99,33,98.67
342,52,29,Martillo - Lote 29,17.0,29,493.0
343,52,21,"Tubo PVC Desague 4"" - Lote 21",14.83,97,1438.51
344,52,9,Pegamento PVC Oatey - Lote 9,21.87,55,1202.85
345,52,38,"Codo PVC 4"" - Lote 38",2.25,90,202.5
346,52,25,Cinta Teflon - Lote 25,1.52,96,145.92
347,52,30,Guantes - Lote 30,4.97,84,417.48
348,52,7,"Tubo PVC Agua 1/2"" - Lote 7",9.39,34,319.26
349,52,42,Tubo Abasto - Lote 42,5.15,90,463.5
350,53,29,Martillo - Lote 29,14.57,49,713.93
351,53,30,Guantes - Lote 30,4.67,71,331.57
352,53,7,"Tubo PVC Agua 1/2"" - Lote 7",8.19,60,491.4
353,53,43,Hoja Sierra - Lote 43,2.87,52,149.24
354,53,10,Cinta Teflon - Lote 10,1.28,80,102.4
355,53,6,"Tubo PVC Desague 4"" - Lote 6",16.42,31,509.02
356,53,48,"Caño Jardin Bronce 1/2"" - Lote 48",9.94,67,665.98
357,53,36,"Tubo PVC Desague 4"" - Lote 36",17.28,27,466.56
358,53,36,"Tubo PVC Desague 4"" - Lote 36",15.85,91,1442.35
359,54,23,"Codo PVC 4"" - Lote 23",2.36,74,174.64
360,54,47,Mezcladora Ducha Italgrif - Lote 47,83.24,26,2164.24
361,54,39,Pegamento PVC Oatey - Lote 39,19.96,59,1177.64
362,54,37,"Tubo PVC Agua 1/2"" - Lote 37",7.6,84,638.4
363,54,43,Hoja Sierra - Lote 43,2.72,81,220.32
364,54,7,"Tubo PVC Agua 1/2"" - Lote 7",9.37,64,599.68
365,54,24,Pegamento PVC Oatey - Lote 24,22.84,34,776.56
366,54,37,"Tubo PVC Agua 1/2"" - Lote 37",9.26,48,444.48
367,54,36,"Tubo PVC Desague 4"" - Lote 36",17.44,99,1726.56
368,55,39,Pegamento PVC Oatey - Lote 39,17.7,54,955.8
369,55,18,"Caño Jardin Bronce 1/2"" - Lote 18",10.26,59,605.34
370,55,23,"Codo PVC 4"" - Lote 23",1.88,20,37.6
371,56,5,Mezcladora Monocomando - Lote 5,116.67,38,4433.46
372,56,2,Mezcladora Ducha Italgrif - Lote 2,77.91,31,2415.21
373,56,14,Martillo - Lote 14,14.6,68,992.8
374,56,22,"Tubo PVC Agua 1/2"" - Lote 22",8.04,40,321.6
375,56,47,Mezcladora Ducha Italgrif - Lote 47,78.64,61,4797.04
376,56,37,"Tubo PVC Agua 1/2"" - Lote 37",7.24,96,695.04
377,56,4,Llave Angular Cromada - Lote 4,6.38,39,248.82
378,56,40,Cinta Teflon - Lote 40,1.59,26,41.34
379,56,18,"Caño Jardin Bronce 1/2"" - Lote 18",9.49,76,721.24
380,57,27,Tubo Abasto - Lote 27,4.34,54,234.36
381,57,33,"Caño Jardin Bronce 1/2"" - Lote 33",8.54,34,290.36
382,57,8,"Codo PVC 4"" - Lote 8",2.22,56,124.32
383,57,38,"Codo PVC 4"" - Lote 38",2.12,82,173.84
384,57,20,Mezcladora Monocomando - Lote 20,97.94,25,2448.5
385,57,39,Pegamento PVC Oatey - Lote 39,17.55,27,473.85
386,57,20,Mezcladora Monocomando - Lote 20,117.62,47,5528.14
387,57,49,Llave Angular Cromada - Lote 49,6.69,52,347.88
388,57,8,"Codo PVC 4"" - Lote 8",2.1,20,42.0
389,57,28,Hoja Sierra - Lote 28,2.63,42,110.46
390,58,33,"Caño Jardin Bronce 1/2"" - Lote 33",10.0,91,910.0
391,58,23,"Codo PVC 4"" - Lote 23",2.03,29,58.87
392,58,48,"Caño Jardin Bronce 1/2"" - Lote 48",8.81,25,220.25
393,58,30,Guantes - Lote 30,5.38,29,156.02
394,58,37,"Tubo PVC Agua 1/2"" - Lote 37",8.61,74,637.14
395,58,46,Llave Lavatorio Vainsa - Lote 46,25.11,73,1833.03
396,59,21,"Tubo PVC Desague 4"" - Lote 21",18.49,41,758.09
397,59,40,Cinta Teflon - Lote 40,1.67,78,130.26
398,59,24,Pegamento PVC Oatey - Lote 24,20.56,31,637.36
399,60,28,Hoja Sierra - Lote 28,2.9,95,275.5
400,60,6,"Tubo PVC Desague 4"" - Lote 6",18.87,70,1320.9
401,60,48,"Caño Jardin Bronce 1/2"" - Lote 48",8.16,63,514.08
402,60,50,Mezcladora Monocomando - Lote 50,92.75,41,3802.75
