idDetalleVenta,idVenta,idProduc,nomProduc,precioProduc,CantidadProduc,Subtotal
128,45,50,"Codo PVC 4"" Desague 90° (Modelo 50)",3.5,10,35.0
129,45,47,Mezcladora Ducha Italgrif (Modelo 47),120.0,10,1200.0
130,45,15,Guantes de Seguridad,8.0,6,48.0
131,45,34,"Tubo PVC Desague 4"" Pavco (3m) (Modelo 34)",28.0,9,252.0
132,45,45,Llave Lavatorio Vainsa (Modelo 45),45.0,10,450.0
133,46,31,Hoja de Sierra Sandflex (Modelo 31),5.0,6,30.0
134,46,43,Cinta Teflon Grande (Modelo 43),2.5,7,17.5
135,47,4,Llave Angular Cromada,12.0,1,12.0
136,47,42,Cinta Teflon Grande (Modelo 42),2.5,3,7.5
137,47,33,"Tubo PVC Agua 1/2"" (5m) (Modelo 33)",14.0,8,112.0
138,47,32,Mezcladora Ducha Italgrif (Modelo 32),120.0,3,360.0
139,47,5,Mezcladora Monocomando Cocina,180.0,8,1440.0
140,48,18,Llave Angular Cromada (Modelo 18),12.0,1,12.0
141,48,33,"Tubo PVC Agua 1/2"" (5m) (Modelo 33)",14.0,4,56.0
142,48,36,Hoja de Sierra Sandflex (Modelo 36),5.0,7,35.0
143,49,30,"Caño Jardin Bronce 1/2"" (Modelo 30)",15.0,8,120.0
144,50,29,"Tubo PVC Desague 4"" Pavco (3m) (Modelo 29)",28.0,6,168.0
145,50,8,"Codo PVC 4"" Desague 90°",3.5,8,28.0
146,50,48,Martillo de Uña (Modelo 48),25.0,1,25.0
147,50,7,"Tubo PVC Agua 1/2"" (5m)",14.0,7,98.0
148,51,36,Hoja de Sierra Sandflex (Modelo 36),5.0,1,5.0
149,51,6,"Tubo PVC Desague 4"" Pavco (3m)",28.0,10,280.0
150,51,40,Mezcladora Ducha Italgrif (Modelo 40),120.0,5,600.0
151,51,33,"Tubo PVC Agua 1/2"" (5m) (Modelo 33)",14.0,9,126.0
152,51,14,Martillo de Uña,25.0,8,200.0
153,52,15,Guantes de Seguridad,8.0,8,64.0
154,53,39,Guantes de Seguridad (Modelo 39),8.0,8,64.0
155,53,46,Llave Angular Cromada (Modelo 46),12.0,6,72.0
156,53,46,Llave Angular Cromada (Modelo 46),12.0,8,96.0
157,53,8,"Codo PVC 4"" Desague 90°",3.5,2,7.0
158,53,49,"Tubo PVC Agua 1/2"" (5m) (Modelo 49)",14.0,4,56.0
159,54,41,Mezcladora Monocomando Cocina (Modelo 41),180.0,5,900.0
160,54,36,Hoja de Sierra Sandflex (Modelo 36),5.0,9,45.0
161,54,24,Llave Angular Cromada (Modelo 24),12.0,2,24.0
162,55,9,Pegamento PVC Oatey Azul,35.0,7,245.0
163,55,7,"Tubo PVC Agua 1/2"" (5m)",14.0,5,70.0
164,55,40,Mezcladora Ducha Italgrif (Modelo 40),120.0,4,480.0
165,55,13,Hoja de Sierra Sandflex,5.0,2,10.0
166,56,13,Hoja de Sierra Sandflex,5.0,6,30.0
167,56,7,"Tubo PVC Agua 1/2"" (5m)",14.0,7,98.0
168,56,3,"Caño Jardin Bronce 1/2""",15.0,10,150.0
169,56,8,"Codo PVC 4"" Desague 90°",3.5,8,28.0
170,57,33,"Tubo PVC Agua 1/2"" (5m) (Modelo 33)",14.0,3,42.0
171,57,32,Mezcladora Ducha Italgrif (Modelo 32),120.0,1,120.0
172,57,34,"Tubo PVC Desague 4"" Pavco (3m) (Modelo 34)",28.0,1,28.0
173,57,36,Hoja de Sierra Sandflex (Modelo 36),5.0,7,35.0
174,57,38,Pegamento PVC Oatey Azul (Modelo 38),35.0,8,280.0
175,58,12,Tubo de Abasto Aluminio,8.0,3,24.0
176,58,7,"Tubo PVC Agua 1/2"" (5m)",14.0,7,98.0
177,58,43,Cinta Teflon Grande (Modelo 43),2.5,10,25.0
178,58,39,Guantes de Seguridad (Modelo 39),8.0,6,48.0
179,58,33,"Tubo PVC Agua 1/2"" (5m) (Modelo 33)",14.0,7,98.0
180,59,18,Llave Angular Cromada (Modelo 18),12.0,7,84.0
181,59,22,Sifón Botella Lavatorio PVC (Modelo 22),15.0,5,75.0
182,60,27,Hoja de Sierra Sandflex (Modelo 27),5.0,10,50.0
183,60,45,Llave Lavatorio Vainsa (Modelo 45),45.0,9,405.0
184,61,21,Llave Angular Cromada (Modelo 21),12.0,9,108.0
185,61,41,Mezcladora Monocomando Cocina (Modelo 41),180.0,4,720.0
186,61,13,Hoja de Sierra Sandflex,5.0,4,20.0
187,61,40,Mezcladora Ducha Italgrif (Modelo 40),120.0,5,600.0
188,61,44,Tubo de Abasto Aluminio (Modelo 44),8.0,6,48.0
189,62,33,"Tubo PVC Agua 1/2"" (5m) (Modelo 33)",14.0,9,126.0
190,62,45,Llave Lavatorio Vainsa (Modelo 45),45.0,6,270.0
191,63,36,Hoja de Sierra Sandflex (Modelo 36),5.0,8,40.0
192,63,38,Pegamento PVC Oatey Azul (Modelo 38),35.0,10,350.0
193,63,43,Cinta Teflon Grande (Modelo 43),2.5,7,17.5
194,64,34,"Tubo PVC Desague 4"" Pavco (3m) (Modelo 34)",28.0,2,56.0
195,65,4,Llave Angular Cromada,12.0,1,12.0
196,65,13,Hoja de Sierra Sandflex,5.0,5,25.0
197,66,10,Cinta Teflon Grande,2.5,1,2.5
198,66,45,Llave Lavatorio Vainsa (Modelo 45),45.0,5,225.0
199,66,14,Martillo de Uña,25.0,9,225.0
200,67,7,"Tubo PVC Agua 1/2"" (5m)",14.0,10,140.0
201,67,44,Tubo de Abasto Aluminio (Modelo 44),8.0,9,72.0
202,67,15,Guantes de Seguridad,8.0,9,72.0
203,67,25,Cinta Teflon Grande (Modelo 25),2.5,4,10.0
204,68,25,Cinta Teflon Grande (Modelo 25),2.5,7,17.5
205,69,36,Hoja de Sierra Sandflex (Modelo 36),5.0,1,5.0
206,69,1,Llave Lavatorio Vainsa,45.0,5,225.0
207,69,13,Hoja de Sierra Sandflex,5.0,10,50.0
208,70,49,"Tubo PVC Agua 1/2"" (5m) (Modelo 49)",14.0,10,140.0
209,70,35,Cinta Teflon Grande (Modelo 35),2.5,10,25.0
210,70,13,Hoja de Sierra Sandflex,5.0,4,20.0
211,71,44,Tubo de Abasto Aluminio (Modelo 44),8.0,2,16.0
212,71,12,Tubo de Abasto Aluminio,8.0,3,24.0
213,72,28,Tubo de Abasto Aluminio (Modelo 28),8.0,5,40.0
214,73,38,Pegamento PVC Oatey Azul (Modelo 38),35.0,5,175.0
215,73,1,Llave Lavatorio Vainsa,45.0,6,270.0
216,74,3,"Caño Jardin Bronce 1/2""",15.0,3,45.0
217,74,21,Llave Angular Cromada (Modelo 21),12.0,10,120.0
218,75,43,Cinta Teflon Grande (Modelo 43),2.5,5,12.5
219,75,32,Mezcladora Ducha Italgrif (Modelo 32),120.0,10,1200.0
220,75,36,Hoja de Sierra Sandflex (Modelo 36),5.0,6,30.0
221,75,5,Mezcladora Monocomando Cocina,180.0,6,1080.0
222,75,34,"Tubo PVC Desague 4"" Pavco (3m) (Modelo 34)",28.0,4,112.0
223,76,33,"Tubo PVC Agua 1/2"" (5m) (Modelo 33)",14.0,3,42.0
224,77,26,Hoja de Sierra Sandflex (Modelo 26),5.0,2,10.0
225,77,23,Pegamento PVC Oatey Azul (Modelo 23),35.0,4,140.0
226,77,14,Martillo de Uña,25.0,6,150.0
227,77,22,Sifón Botella Lavatorio PVC (Modelo 22),15.0,6,90.0
228,77,19,Pegamento PVC Oatey Azul (Modelo 19),35.0,4,140.0
229,78,8,"Codo PVC 4"" Desague 90°",3.5,6,21.0
230,79,40,Mezcladora Ducha Italgrif (Modelo 40),120.0,4,480.0
231,79,3,"Caño Jardin Bronce 1/2""",15.0,6,90.0
232,79,25,Cinta Teflon Grande (Modelo 25),2.5,2,5.0
233,79,25,Cinta Teflon Grande (Modelo 25),2.5,5,12.5
234,79,35,Cinta Teflon Grande (Modelo 35),2.5,5,12.5
235,80,33,"Tubo PVC Agua 1/2"" (5m) (Modelo 33)",14.0,9,126.0
236,80,29,"Tubo PVC Desague 4"" Pavco (3m) (Modelo 29)",28.0,8,224.0
237,80,3,"Caño Jardin Bronce 1/2""",15.0,5,75.0
238,81,6,"Tubo PVC Desague 4"" Pavco (3m)",28.0,2,56.0
239,81,11,Sifón Botella Lavatorio PVC,15.0,9,135.0
240,81,35,Cinta Teflon Grande (Modelo 35),2.5,1,2.5
241,81,41,Mezcladora Monocomando Cocina (Modelo 41),180.0,2,360.0
242,81,14,Martillo de Uña,25.0,4,100.0
243,82,35,Cinta Teflon Grande (Modelo 35),2.5,7,17.5
244,82,42,Cinta Teflon Grande (Modelo 42),2.5,2,5.0
245,83,46,Llave Angular Cromada (Modelo 46),12.0,6,72.0
246,83,3,"Caño Jardin Bronce 1/2""",15.0,2,30.0
247,83,5,Mezcladora Monocomando Cocina,180.0,1,180.0
248,83,12,Tubo de Abasto Aluminio,8.0,5,40.0
249,84,17,Llave Lavatorio Vainsa (Modelo 17),45.0,7,315.0
250,84,25,Cinta Teflon Grande (Modelo 25),2.5,8,20.0
251,85,2,Mezcladora Ducha Italgrif,120.0,7,840.0
252,85,44,Tubo de Abasto Aluminio (Modelo 44),8.0,2,16.0
253,85,35,Cinta Teflon Grande (Modelo 35),2.5,1,2.5
254,86,3,"Caño Jardin Bronce 1/2""",15.0,2,30.0
255,86,23,Pegamento PVC Oatey Azul (Modelo 23),35.0,9,315.0
256,86,7,"Tubo PVC Agua 1/2"" (5m)",14.0,5,70.0
257,86,44,Tubo de Abasto Aluminio (Modelo 44),8.0,5,40.0
258,86,39,Guantes de Seguridad (Modelo 39),8.0,2,16.0
259,87,25,Cinta Teflon Grande (Modelo 25),2.5,7,17.5
260,87,43,Cinta Teflon Grande (Modelo 43),2.5,1,2.5
261,87,31,Hoja de Sierra Sandflex (Modelo 31),5.0,3,15.0
262,87,35,Cinta Teflon Grande (Modelo 35),2.5,4,10.0
263,88,35,Cinta Teflon Grande (Modelo 35),2.5,5,12.5
264,88,41,Mezcladora Monocomando Cocina (Modelo 41),180.0,3,540.0
265,88,20,Llave Lavatorio Vainsa (Modelo 20),45.0,6,270.0
266,88,1,Llave Lavatorio Vainsa,45.0,9,405.0
267,89,1,Llave Lavatorio Vainsa,45.0,10,450.0
268,90,6,"Tubo PVC Desague 4"" Pavco (3m)",28.0,5,140.0
269,90,14,Martillo de Uña,25.0,6,150.0
270,90,14,Martillo de Uña,25.0,7,175.0
271,90,42,Cinta Teflon Grande (Modelo 42),2.5,9,22.5
272,90,10,Cinta Teflon Grande,2.5,3,7.5
273,91,17,Llave Lavatorio Vainsa (Modelo 17),45.0,4,180.0
274,91,8,"Codo PVC 4"" Desague 90°",3.5,3,10.5
275,91,43,Cinta Teflon Grande (Modelo 43),2.5,10,25.0
276,91,4,Llave Angular Cromada,12.0,9,108.0
277,91,30,"Caño Jardin Bronce 1/2"" (Modelo 30)",15.0,9,135.0
278,92,17,Llave Lavatorio Vainsa (Modelo 17),45.0,2,90.0
279,93,32,Mezcladora Ducha Italgrif (Modelo 32),120.0,6,720.0
280,93,23,Pegamento PVC Oatey Azul (Modelo 23),35.0,3,105.0
281,93,43,Cinta Teflon Grande (Modelo 43),2.5,4,10.0
282,93,7,"Tubo PVC Agua 1/2"" (5m)",14.0,5,70.0
283,93,40,Mezcladora Ducha Italgrif (Modelo 40),120.0,2,240.0
284,94,29,"Tubo PVC Desague 4"" Pavco (3m) (Modelo 29)",28.0,6,168.0
285,94,40,Mezcladora Ducha Italgrif (Modelo 40),120.0,5,600.0
286,94,45,Llave Lavatorio Vainsa (Modelo 45),45.0,10,450.0
287,94,10,Cinta Teflon Grande,2.5,10,25.0
288,95,11,Sifón Botella Lavatorio PVC,15.0,1,15.0
289,95,21,Llave Angular Cromada (Modelo 21),12.0,4,48.0
290,95,15,Guantes de Seguridad,8.0,7,56.0
291,95,18,Llave Angular Cromada (Modelo 18),12.0,6,72.0
292,96,31,Hoja de Sierra Sandflex (Modelo 31),5.0,8,40.0
293,96,29,"Tubo PVC Desague 4"" Pavco (3m) (Modelo 29)",28.0,6,168.0
294,96,50,"Codo PVC 4"" Desague 90° (Modelo 50)",3.5,5,17.5
295,97,12,Tubo de Abasto Aluminio,8.0,10,80.0
296,98,35,Cinta Teflon Grande (Modelo 35),2.5,4,10.0
297,98,17,Llave Lavatorio Vainsa (Modelo 17),45.0,2,90.0
298,99,41,Mezcladora Monocomando Cocina (Modelo 41),180.0,1,180.0
299,99,38,Pegamento PVC Oatey Azul (Modelo 38),35.0,10,350.0
300,99,26,Hoja de Sierra Sandflex (Modelo 26),5.0,10,50.0
301,99,14,Martillo de Uña,25.0,1,25.0
302,99,36,Hoja de Sierra Sandflex (Modelo 36),5.0,5,25.0
303,100,24,Llave Angular Cromada (Modelo 24),12.0,7,84.0
304,100,15,Guantes de Seguridad,8.0,10,80.0
305,101,33,"Tubo PVC Agua 1/2"" (5m) (Modelo 33)",14.0,9,126.0
306,101,6,"Tubo PVC Desague 4"" Pavco (3m)",28.0,7,196.0
307,101,24,Llave Angular Cromada (Modelo 24),12.0,9,108.0
308,101,1,Llave Lavatorio Vainsa,45.0,4,180.0
309,102,9,Pegamento PVC Oatey Azul,35.0,8,280.0
310,102,11,Sifón Botella Lavatorio PVC,15.0,3,45.0
311,102,37,Tubo de Abasto Aluminio (Modelo 37),8.0,10,80.0
312,102,43,Cinta Teflon Grande (Modelo 43),2.5,3,7.5
313,102,48,Martillo de Uña (Modelo 48),25.0,8,200.0
314,103,49,"Tubo PVC Agua 1/2"" (5m) (Modelo 49)",14.0,8,112.0
315,103,15,Guantes de Seguridad,8.0,2,16.0
316,104,3,"Caño Jardin Bronce 1/2""",15.0,4,60.0
317,104,34,"Tubo PVC Desague 4"" Pavco (3m) (Modelo 34)",28.0,6,168.0
318,105,3,"Caño Jardin Bronce 1/2""",15.0,1,15.0
319,105,42,Cinta Teflon Grande (Modelo 42),2.5,6,15.0
320,105,7,"Tubo PVC Agua 1/2"" (5m)",14.0,9,126.0
321,105,41,Mezcladora Monocomando Cocina (Modelo 41),180.0,5,900.0
322,106,37,Tubo de Abasto Aluminio (Modelo 37),8.0,3,24.0
323,106,25,Cinta Teflon Grande (Modelo 25),2.5,7,17.5
324,106,24,Llave Angular Cromada (Modelo 24),12.0,10,120.0
325,106,42,Cinta Teflon Grande (Modelo 42),2.5,2,5.0
326,106,34,"Tubo PVC Desague 4"" Pavco (3m) (Modelo 34)",28.0,5,140.0
327,107,26,Hoja de Sierra Sandflex (Modelo 26),5.0,6,30.0
328,107,23,Pegamento PVC Oatey Azul (Modelo 23),35.0,8,280.0
329,107,31,Hoja de Sierra Sandflex (Modelo 31),5.0,10,50.0
330,107,1,Llave Lavatorio Vainsa,45.0,9,405.0
331,107,9,Pegamento PVC Oatey Azul,35.0,8,280.0
332,108,33,"Tubo PVC Agua 1/2"" (5m) (Modelo 33)",14.0,5,70.0
333,109,11,Sifón Botella Lavatorio PVC,15.0,6,90.0
334,109,39,Guantes de Seguridad (Modelo 39),8.0,2,16.0
335,110,47,Mezcladora Ducha Italgrif (Modelo 47),120.0,2,240.0
336,110,31,Hoja de Sierra Sandflex (Modelo 31),5.0,8,40.0
337,110,31,Hoja de Sierra Sandflex (Modelo 31),5.0,4,20.0
338,111,2,Mezcladora Ducha Italgrif,120.0,4,480.0
339,111,3,"Caño Jardin Bronce 1/2""",15.0,3,45.0
340,111,37,Tubo de Abasto Aluminio (Modelo 37),8.0,10,80.0
341,111,11,Sifón Botella Lavatorio PVC,15.0,3,45.0
342,112,4,Llave Angular Cromada,12.0,3,36.0
343,112,17,Llave Lavatorio Vainsa (Modelo 17),45.0,3,135.0
344,113,41,Mezcladora Monocomando Cocina (Modelo 41),180.0,1,180.0
345,113,47,Mezcladora Ducha Italgrif (Modelo 47),120.0,5,600.0
346,113,6,"Tubo PVC Desague 4"" Pavco (3m)",28.0,4,112.0
347,113,29,"Tubo PVC Desague 4"" Pavco (3m) (Modelo 29)",28.0,10,280.0
348,113,31,Hoja de Sierra Sandflex (Modelo 31),5.0,8,40.0
349,114,39,Guantes de Seguridad (Modelo 39),8.0,3,24.0
350,114,38,Pegamento PVC Oatey Azul (Modelo 38),35.0,3,105.0
351,114,40,Mezcladora Ducha Italgrif (Modelo 40),120.0,9,1080.0
352,114,17,Llave Lavatorio Vainsa (Modelo 17),45.0,3,135.0
353,115,38,Pegamento PVC Oatey Azul (Modelo 38),35.0,2,70.0
354,115,15,Guantes de Seguridad,8.0,7,56.0
355,115,25,Cinta Teflon Grande (Modelo 25),2.5,3,7.5
356,115,7,"Tubo PVC Agua 1/2"" (5m)",14.0,1,14.0
357,115,13,Hoja de Sierra Sandflex,5.0,9,45.0
358,116,7,"Tubo PVC Agua 1/2"" (5m)",14.0,3,42.0
359,116,31,Hoja de Sierra Sandflex (Modelo 31),5.0,10,50.0
360,116,39,Guantes de Seguridad (Modelo 39),8.0,1,8.0
361,116,35,Cinta Teflon Grande (Modelo 35),2.5,9,22.5
362,116,49,"Tubo PVC Agua 1/2"" (5m) (Modelo 49)",14.0,2,28.0
363,117,39,Guantes de Seguridad (Modelo 39),8.0,9,72.0
364,117,1,Llave Lavatorio Vainsa,45.0,7,315.0
365,118,45,Llave Lavatorio Vainsa (Modelo 45),45.0,9,405.0
366,119,50,"Codo PVC 4"" Desague 90° (Modelo 50)",3.5,7,24.5
367,119,23,Pegamento PVC Oatey Azul (Modelo 23),35.0,10,350.0
368,119,48,Martillo de Uña (Modelo 48),25.0,10,250.0
369,119,7,"Tubo PVC Agua 1/2"" (5m)",14.0,7,98.0
370,120,50,"Codo PVC 4"" Desague 90° (Modelo 50)",3.5,4,14.0
371,120,6,"Tubo PVC Desague 4"" Pavco (3m)",28.0,5,140.0
372,120,39,Guantes de Seguridad (Modelo 39),8.0,9,72.0
373,120,27,Hoja de Sierra Sandflex (Modelo 27),5.0,5,25.0
374,121,37,Tubo de Abasto Aluminio (Modelo 37),8.0,9,72.0
375,122,25,Cinta Teflon Grande (Modelo 25),2.5,4,10.0
376,123,7,"Tubo PVC Agua 1/2"" (5m)",14.0,3,42.0
377,123,28,Tubo de Abasto Aluminio (Modelo 28),8.0,10,80.0
378,123,17,Llave Lavatorio Vainsa (Modelo 17),45.0,5,225.0
379,124,40,Mezcladora Ducha Italgrif (Modelo 40),120.0,5,600.0
380,124,44,Tubo de Abasto Aluminio (Modelo 44),8.0,7,56.0
381,124,49,"Tubo PVC Agua 1/2"" (5m) (Modelo 49)",14.0,4,56.0
