idCompra,Fecha_Compra,nombreProveedor,Total
COMP-39,2025-10-30,Proveedor 67,2603.6
COMP-40,2024-08-26,Proveedor 491,4519.91
COMP-41,2023-03-05,Proveedor 381,4773.3
COMP-42,2024-06-17,Proveedor 457,3678.62
COMP-43,2024-12-13,Proveedor 410,2365.25
COMP-44,2024-09-01,Proveedor 161,1119.71
COMP-45,2023-11-27,Proveedor 185,3349.77
COMP-46,2024-05-22,Proveedor 103,1352.45
COMP-47,2024-12-07,Proveedor 454,2244.87
COMP-48,2023-03-20,Proveedor 113,4284.87
COMP-49,2024-11-21,Proveedor 434,1993.43
COMP-50,2023-05-10,Proveedor 313,942.02
COMP-51,2024-09-10,Proveedor 321,2856.13
COMP-52,2024-05-02,Proveedor 222,1881.46
COMP-53,2025-07-22,Proveedor 360,572.66
COMP-54,2024-09-01,Proveedor 253,906.83
COMP-55,2023-01-16,Proveedor 49,4442.35
COMP-56,2023-10-16,Proveedor 248,1233.31
COMP-57,2025-01-10,Proveedor 330,1456.99
COMP-58,2024-07-12,Proveedor 72,4896.49
COMP-59,2024-04-12,Proveedor 38,4379.75
COMP-60,2024-04-05,Proveedor 259,2376.03
COMP-61,2025-09-09,Proveedor 40,1687.83
COMP-62,2023-12-17,Proveedor 204,4444.71
COMP-63,2023-09-17,Proveedor 418,4958.32
COMP-64,2025-04-25,Proveedor 188,2362.51
COMP-65,2023-11-10,Proveedor 175,4060.41
COMP-66,2023-04-27,Proveedor 66,2956.13
COMP-67,2024-02-12,Proveedor 188,3561.42
COMP-68,2023-10-12,Proveedor 186,4525.67
COMP-69,2024-06-03,Proveedor 246,3303.82
COMP-70,2023-10-26,Proveedor 458,1463.92
COMP-71,2023-11-28,Proveedor 138,4567.23
COMP-72,2025-08-12,Proveedor 255,2127.1
COMP-73,2024-03-14,Proveedor 377,1004.35
COMP-74,2023-10-16,Proveedor 499,3908.11
COMP-75,2025-05-26,Proveedor 155,1037.36
COMP-76,2023-11-24,Proveedor 87,4410.72
COMP-77,2023-06-18,Proveedor 5,1480.38
COMP-78,2024-10-07,Proveedor 446,825.56
COMP-79,2023-10-07,Proveedor 172,2442.83
COMP-80,2023-04-29,Proveedor 35,4601.23
COMP-81,2025-02-25,Proveedor 267,4579.17
COMP-82,2023-12-09,Proveedor 289,3688.94
COMP-83,2025-06-21,Proveedor 217,2919.66
COMP-84,2023-01-30,Proveedor 407,295.45
COMP-85,2023-09-20,Proveedor 222,1945.96
COMP-86,2023-11-09,Proveedor 239,472.24
COMP-87,2023-03-04,Proveedor 275,1760.44
COMP-88,2024-02-04,Proveedor 306,4375.76
COMP-89,2024-02-25,Proveedor 253,763.11
COMP-90,2023-09-17,Proveedor 197,738.35
COMP-91,2023-10-20,Proveedor 337,180.23
COMP-92,2024-08-18,Proveedor 107,4478.47
COMP-93,2024-10-25,Proveedor 482,4174.82
COMP-94,2024-07-31,Proveedor 451,4461.52
COMP-95,2023-09-15,Proveedor 475,495.46
COMP-96,2025-09-07,Proveedor 258,4127.12
COMP-97,2023-07-09,Proveedor 22,2880.74
COMP-98,2025-01-11,Proveedor 494,4792.24
COMP-99,2023-12-07,Proveedor 117,1704.79
COMP-100,2023-05-30,Proveedor 417,2052.38
COMP-101,2024-12-29,Proveedor 438,186.35
COMP-102,2024-02-21,Proveedor 205,212.99
COMP-103,2025-02-15,Proveedor 473,2352.42
COMP-104,2023-02-19,Proveedor 27,2305.5
COMP-105,2024-02-01,Proveedor 373,3168.51
COMP-106,2023-12-21,Proveedor 126,4656.63
COMP-107,2023-11-16,Proveedor 125,4012.15
COMP-108,2025-03-18,Proveedor 389,4794.25
COMP-109,2023-07-03,Proveedor 299,2062.52
COMP-110,2023-03-17,Proveedor 498,2944.53
COMP-111,2023-11-15,Proveedor 247,4067.6
COMP-112,2024-02-05,Proveedor 372,1645.59
COMP-113,2023-06-26,Proveedor 315,2258.92
COMP-114,2023-10-29,Proveedor 421,4788.42
COMP-115,2025-10-29,Proveedor 458,4481.15
COMP-116,2023-10-30,Proveedor 124,4089.39
COMP-117,2023-12-20,Proveedor 224,939.37
COMP-118,2024-08-07,Proveedor 479,3902.78
COMP-119,2024-11-04,Proveedor 379,2604.97
COMP-120,2024-04-03,Proveedor 393,2122.92
COMP-121,2023-04-03,Proveedor 194,324.94
COMP-122,2025-07-05,Proveedor 42,4420.0
COMP-123,2025-04-03,Proveedor 355,2157.33
COMP-124,2024-05-06,Proveedor 39,2863.61
COMP-125,2024-04-21,Proveedor 347,2489.15
COMP-126,2024-02-03,Proveedor 437,2025.5
COMP-127,2025-05-23,Proveedor 324,3098.02
COMP-128,2025-06-17,Proveedor 93,2567.56
COMP-129,2024-01-03,Proveedor 285,1724.26
COMP-130,2023-05-03,Proveedor 451,682.69
COMP-131,2024-06-25,Proveedor 134,1595.55
COMP-132,2023-01-14,Proveedor 235,2135.87
COMP-133,2023-09-04,Proveedor 347,908.32
COMP-134,2024-12-08,Proveedor 434,4864.26
COMP-135,2025-09-24,Proveedor 296,1129.98
COMP-136,2024-11-10,Proveedor 391,3971.49
COMP-137,2023-07-17,Proveedor 98,2715.94
COMP-138,2024-08-19,Proveedor 202,1128.06
COMP-139,2023-11-23,Proveedor 182,2108.85
COMP-140,2023-07-08,Proveedor 322,329.95
COMP-141,2024-12-08,Proveedor 220,964.0
COMP-142,2025-09-26,Proveedor 216,2742.0
COMP-143,2024-07-02,Proveedor 380,3873.85
COMP-144,2023-03-20,Proveedor 301,3816.73
COMP-145,2024-08-03,Proveedor 48,3335.16
COMP-146,2025-07-17,Proveedor 307,3927.25
COMP-147,2024-09-18,Proveedor 223,506.76
COMP-148,2023-01-11,Proveedor 47,2900.56
COMP-149,2024-05-16,Proveedor 390,3343.04
COMP-150,2024-03-08,Proveedor 329,1425.31
COMP-151,2023-03-15,Proveedor 276,2706.47
COMP-152,2024-09-03,Proveedor 325,1517.28
COMP-153,2024-04-01,Proveedor 123,1185.53
COMP-154,2025-10-22,Proveedor 161,3963.93
COMP-155,2023-03-09,Proveedor 32,1748.06
COMP-156,2023-06-01,Proveedor 240,3192.35
COMP-157,2023-12-25,Proveedor 407,513.01
COMP-158,2025-03-21,Proveedor 408,1500.05
COMP-159,2023-05-22,Proveedor 33,4107.63
COMP-160,2024-06-11,Proveedor 249,1161.43
COMP-161,2025-08-07,Proveedor 267,4839.76
COMP-162,2023-05-02,Proveedor 101,807.26
COMP-163,2024-03-15,Proveedor 278,3526.81
COMP-164,2025-04-26,Proveedor 120,3895.03
COMP-165,2024-06-30,Proveedor 65,3883.53
COMP-166,2025-02-19,Proveedor 243,1673.79
COMP-167,2025-03-15,Proveedor 385,2406.99
COMP-168,2024-12-09,Proveedor 5,4487.22
COMP-169,2023-07-05,Proveedor 482,1071.25
COMP-170,2024-07-27,Proveedor 360,4666.97
COMP-171,2025-04-02,Proveedor 21,4957.07
COMP-172,2023-02-23,Proveedor 74,2994.69
COMP-173,2025-08-03,Proveedor 77,1857.91
COMP-174,2025-09-27,Proveedor 404,733.67
COMP-175,2023-05-27,Proveedor 457,2998.02
COMP-176,2024-08-18,Proveedor 327,3273.14
COMP-177,2024-09-14,Proveedor 272,329.72
COMP-178,2023-07-26,Proveedor 434,187.57
COMP-179,2023-09-14,Proveedor 30,1106.29
COMP-180,2024-09-26,Proveedor 430,4834.36
COMP-181,2025-03-04,Proveedor 225,2113.67
COMP-182,2024-04-24,Proveedor 71,1663.41
COMP-183,2023-02-16,Proveedor 9,550.05
COMP-184,2024-03-23,Proveedor 381,4846.81
COMP-185,2024-03-09,Proveedor 7,4939.41
COMP-186,2024-04-01,Proveedor 226,1927.84
COMP-187,2023-02-07,Proveedor 193,2963.36
COMP-188,2024-09-28,Proveedor 277,1430.57
COMP-189,2024-07-28,Proveedor 417,4459.94
COMP-190,2024-10-02,Proveedor 439,675.07
COMP-191,2023-05-31,Proveedor 379,4262.63
COMP-192,2025-03-11,Proveedor 53,4870.29
COMP-193,2025-03-20,Proveedor 128,3224.04
COMP-194,2024-06-28,Proveedor 184,4432.72
COMP-195,2024-01-03,Proveedor 274,1590.85
COMP-196,2024-12-16,Proveedor 232,208.55
COMP-197,2024-05-21,Proveedor 137,454.12
COMP-198,2023-09-17,Proveedor 353,3927.12
COMP-199,2023-05-23,Proveedor 470,4625.68
COMP-200,2024-02-27,Proveedor 44,969.68
COMP-201,2025-04-14,Proveedor 127,3217.24
COMP-202,2023-02-08,Proveedor 282,3932.57
COMP-203,2024-06-26,Proveedor 250,4670.44
COMP-204,2023-01-03,Proveedor 225,156.26
COMP-205,2023-08-12,Proveedor 100,721.83
COMP-206,2024-02-13,Proveedor 219,4409.66
COMP-207,2025-04-29,Proveedor 386,801.67
COMP-208,2023-05-19,Proveedor 320,174.48
COMP-209,2024-01-20,Proveedor 356,422.63
COMP-210,2023-07-29,Proveedor 10,2309.23
COMP-211,2025-07-11,Proveedor 257,2064.82
COMP-212,2024-02-26,Proveedor 190,2258.44
COMP-213,2025-06-05,Proveedor 19,4469.63
COMP-214,2024-03-29,Proveedor 194,865.43
COMP-215,2023-07-21,Proveedor 286,3851.49
COMP-216,2023-04-30,Proveedor 400,1273.14
COMP-217,2024-04-11,Proveedor 75,104.43
COMP-218,2023-04-19,Proveedor 70,1024.59
COMP-219,2024-11-05,Proveedor 296,1175.05
COMP-220,2024-11-09,Proveedor 404,4493.95
COMP-221,2023-11-17,Proveedor 134,913.5
COMP-222,2024-09-01,Proveedor 352,2521.63
COMP-223,2024-09-02,Proveedor 268,4403.36
COMP-224,2024-01-22,Proveedor 22,3179.27
COMP-225,2024-06-14,Proveedor 35,4778.56
COMP-226,2025-09-14,Proveedor 328,1494.89
COMP-227,2024-03-19,Proveedor 273,2918.42
COMP-228,2024-08-17,Proveedor 439,4912.66
COMP-229,2024-12-03,Proveedor 332,4315.69
COMP-230,2023-03-15,Proveedor 113,3179.76
COMP-231,2023-07-27,Proveedor 47,2521.63
COMP-232,2024-08-31,Proveedor 377,3418.34
COMP-233,2024-01-28,Proveedor 50,4169.5
COMP-234,2023-06-05,Proveedor 59,874.76
COMP-235,2025-04-05,Proveedor 430,2892.74
COMP-236,2024-02-03,Proveedor 5,2358.57
COMP-237,2025-05-08,Proveedor 458,4278.55
COMP-238,2024-12-16,Proveedor 154,2127.09
COMP-239,2023-02-21,Proveedor 18,2405.65
COMP-240,2025-07-03,Proveedor 284,1395.88
COMP-241,2024-03-31,Proveedor 257,2964.82
COMP-242,2025-07-28,Proveedor 465,4451.18
COMP-243,2023-07-23,Proveedor 248,947.18
COMP-244,2024-12-05,Proveedor 245,901.13
COMP-245,2025-02-28,Proveedor 208,4533.88
COMP-246,2025-06-03,Proveedor 241,1521.1
COMP-247,2024-09-27,Proveedor 480,3791.8
COMP-248,2025-02-19,Proveedor 12,2638.48
COMP-249,2023-04-24,Proveedor 222,3374.25
COMP-250,2024-12-17,Proveedor 131,2532.37
COMP-251,2024-05-20,Proveedor 92,3841.55
COMP-252,2024-11-05,Proveedor 177,1458.51
COMP-253,2024-05-04,Proveedor 206,533.01
COMP-254,2024-08-01,Proveedor 355,3805.23
COMP-255,2025-09-03,Proveedor 284,3377.59
COMP-256,2024-02-14,Proveedor 4,2395.68
COMP-257,2023-11-03,Proveedor 489,4410.45
COMP-258,2023-08-01,Proveedor 308,1574.32
COMP-259,2023-06-07,Proveedor 273,665.8
COMP-260,2024-05-20,Proveedor 241,4522.82
COMP-261,2024-07-08,Proveedor 405,1663.54
COMP-262,2023-02-18,Proveedor 311,3694.74
COMP-263,2024-06-13,Proveedor 298,1611.64
COMP-264,2023-10-25,Proveedor 9,2687.35
COMP-265,2025-04-16,Proveedor 28,1241.04
COMP-266,2025-09-23,Proveedor 78,2254.09
COMP-267,2023-10-27,Proveedor 484,1406.39
COMP-268,2025-01-18,Proveedor 160,2098.02
COMP-269,2023-05-24,Proveedor 97,3460.78
COMP-270,2024-10-05,Proveedor 166,2634.29
COMP-271,2025-05-05,Proveedor 121,604.34
COMP-272,2023-02-06,Proveedor 451,3424.73
COMP-273,2024-07-09,Proveedor 293,3517.69
COMP-274,2024-02-29,Proveedor 147,3920.36
COMP-275,2023-10-06,Proveedor 318,4731.86
COMP-276,2023-11-07,Proveedor 303,80.05
COMP-277,2023-12-08,Proveedor 8,1748.37
COMP-278,2024-12-14,Proveedor 461,3121.45
COMP-279,2025-01-07,Proveedor 182,2310.57
COMP-280,2024-03-19,Proveedor 288,889.45
COMP-281,2024-12-25,Proveedor 421,2573.62
COMP-282,2024-06-24,Proveedor 154,4202.62
COMP-283,2023-04-27,Proveedor 239,3039.2
COMP-284,2025-02-05,Proveedor 315,1403.48
COMP-285,2025-01-04,Proveedor 158,765.2
COMP-286,2023-05-27,Proveedor 79,3360.76
COMP-287,2025-07-14,Proveedor 56,1777.95
COMP-288,2023-09-17,Proveedor 411,1470.73
COMP-289,2024-01-04,Proveedor 7,3694.17
COMP-290,2025-09-06,Proveedor 149,161.8
COMP-291,2025-01-16,Proveedor 229,989.89
COMP-292,2024-02-07,Proveedor 242,1233.73
COMP-293,2023-08-16,Proveedor 233,2693.43
COMP-294,2025-02-01,Proveedor 437,4602.09
COMP-295,2024-08-04,Proveedor 379,2821.85
COMP-296,2023-06-19,Proveedor 302,2752.39
COMP-297,2025-02-11,Proveedor 130,4604.29
COMP-298,2025-02-20,Proveedor 330,2588.94
COMP-299,2024-10-11,Proveedor 293,1602.34
COMP-300,2025-05-31,Proveedor 152,3041.12
COMP-301,2023-09-21,Proveedor 137,263.19
COMP-302,2023-08-03,Proveedor 294,2407.98
COMP-303,2024-03-12,Proveedor 3,1496.92
COMP-304,2024-04-10,Proveedor 72,4159.06
COMP-305,2024-05-13,Proveedor 191,3931.16
COMP-306,2024-01-13,Proveedor 188,4224.1
COMP-307,2025-03-04,Proveedor 391,3080.03
COMP-308,2025-05-09,Proveedor 201,1214.71
COMP-309,2024-01-30,Proveedor 421,1708.42
COMP-310,2023-08-28,Proveedor 41,2928.36
COMP-311,2024-06-08,Proveedor 107,2409.28
COMP-312,2024-09-19,Proveedor 165,1638.37
COMP-313,2025-06-23,Proveedor 368,4506.89
COMP-314,2023-08-14,Proveedor 105,1711.15
COMP-315,2023-11-22,Proveedor 427,3935.9
COMP-316,2024-07-23,Proveedor 496,4291.64
COMP-317,2024-01-09,Proveedor 303,3299.53
COMP-318,2024-09-10,Proveedor 245,4206.29
COMP-319,2025-04-14,Proveedor 321,1780.51
COMP-320,2023-01-19,Proveedor 457,1860.87
COMP-321,2023-05-05,Proveedor 85,380.69
COMP-322,2023-11-17,Proveedor 457,3634.41
COMP-323,2023-12-12,Proveedor 321,3315.8
COMP-324,2025-07-15,Proveedor 134,1500.77
COMP-325,2023-06-29,Proveedor 374,397.4
COMP-326,2023-06-04,Proveedor 16,1113.04
COMP-327,2023-07-26,Proveedor 15,3397.98
COMP-328,2024-02-02,Proveedor 298,2399.34
COMP-329,2024-09-02,Proveedor 500,1084.51
COMP-330,2025-04-09,Proveedor 120,83.27
COMP-331,2025-02-21,Proveedor 285,4457.84
COMP-332,2024-10-09,Proveedor 132,1091.64
COMP-333,2024-08-09,Proveedor 134,1067.33
COMP-334,2025-02-05,Proveedor 335,3384.64
COMP-335,2023-11-12,Proveedor 7,4792.06
COMP-336,2023-01-01,Proveedor 141,3289.12
COMP-337,2025-09-03,Proveedor 53,476.82
COMP-338,2025-01-11,Proveedor 25,952.79
COMP-339,2025-04-11,Proveedor 129,168.62
COMP-340,2024-05-05,Proveedor 163,2694.97
COMP-341,2025-04-05,Proveedor 61,2731.08
COMP-342,2023-12-12,Proveedor 449,401.01
COMP-343,2023-11-30,Proveedor 354,3453.35
COMP-344,2024-03-14,Proveedor 467,4852.7
COMP-345,2023-08-20,Proveedor 19,1626.7
COMP-346,2024-06-22,Proveedor 406,1562.12
COMP-347,2024-06-02,Proveedor 338,857.09
COMP-348,2024-07-08,Proveedor 307,3947.87
COMP-349,2024-12-04,Proveedor 46,244.03
COMP-350,2025-10-08,Proveedor 142,3551.8
COMP-351,2024-03-27,Proveedor 347,1402.57
COMP-352,2023-07-31,Proveedor 387,4537.65
COMP-353,2023-08-20,Proveedor 47,153.55
COMP-354,2025-06-26,Proveedor 213,3955.08
COMP-355,2024-02-15,Proveedor 182,2795.51
COMP-356,2024-12-20,Proveedor 462,4397.24
COMP-357,2025-06-20,Proveedor 280,4143.24
COMP-358,2023-01-19,Proveedor 207,4687.6
COMP-359,2023-07-21,Proveedor 427,4912.03
COMP-360,2023-05-06,Proveedor 83,4061.88
COMP-361,2024-02-26,Proveedor 174,2621.12
COMP-362,2023-10-16,Proveedor 119,1970.09
COMP-363,2025-02-16,Proveedor 486,1848.34
COMP-364,2024-02-22,Proveedor 70,4371.85
COMP-365,2024-10-26,Proveedor 62,1227.11
COMP-366,2025-08-02,Proveedor 282,3120.23
COMP-367,2024-06-23,Proveedor 92,497.27
COMP-368,2023-02-28,Proveedor 260,3404.23
COMP-369,2023-11-27,Proveedor 163,4180.14
COMP-370,2023-09-28,Proveedor 100,657.73
COMP-371,2023-09-24,Proveedor 142,4262.77
COMP-372,2023-07-21,Proveedor 182,734.05
COMP-373,2023-07-07,Proveedor 215,1367.55
COMP-374,2025-06-05,Proveedor 30,2032.72
COMP-375,2023-11-20,Proveedor 300,4467.25
COMP-376,2024-08-10,Proveedor 152,2339.12
COMP-377,2025-05-01,Proveedor 278,3950.7
COMP-378,2024-10-23,Proveedor 1,3869.88
COMP-379,2024-07-28,Proveedor 398,4643.65
COMP-380,2023-12-26,Proveedor 77,835.62
COMP-381,2023-09-10,Proveedor 42,3014.68
COMP-382,2024-11-11,Proveedor 191,2548.37
COMP-383,2023-02-24,Proveedor 244,944.24
COMP-384,2023-11-15,Proveedor 365,3259.96
COMP-385,2024-01-02,Proveedor 422,3239.76
COMP-386,2024-01-05,Proveedor 497,1460.07
COMP-387,2024-11-08,Proveedor 171,141.72
COMP-388,2023-10-20,Proveedor 465,3286.43
COMP-389,2024-03-04,Proveedor 331,847.08
COMP-390,2025-10-05,Proveedor 256,1816.08
COMP-391,2023-11-18,Proveedor 30,3884.82
COMP-392,2024-08-14,Proveedor 107,209.44
COMP-393,2024-09-25,Proveedor 322,3583.83
COMP-394,2025-03-06,Proveedor 297,4232.08
COMP-395,2023-07-25,Proveedor 178,3151.7
COMP-396,2023-06-10,Proveedor 412,2404.8
COMP-397,2024-08-14,Proveedor 136,435.5
COMP-398,2023-01-31,Proveedor 192,1031.52
COMP-399,2024-05-31,Proveedor 220,4433.33
COMP-400,2025-06-13,Proveedor 286,3654.45
COMP-401,2023-03-06,Proveedor 159,4044.95
COMP-402,2024-09-20,Proveedor 243,3287.96
COMP-403,2025-01-27,Proveedor 115,160.46
COMP-404,2023-09-27,Proveedor 434,581.36
COMP-405,2025-03-04,Proveedor 494,1511.93
COMP-406,2024-12-20,Proveedor 59,370.2
COMP-407,2024-11-02,Proveedor 172,1361.98
COMP-408,2024-06-09,Proveedor 201,2191.71
COMP-409,2025-08-19,Proveedor 475,1256.74
COMP-410,2024-06-06,Proveedor 296,1308.7
COMP-411,2024-11-11,Proveedor 62,869.79
COMP-412,2024-07-04,Proveedor 446,4933.3
COMP-413,2023-01-16,Proveedor 444,1550.28
COMP-414,2024-11-08,Proveedor 341,2518.19
COMP-415,2023-01-29,Proveedor 300,4889.31
COMP-416,2024-10-23,Proveedor 26,3345.91
COMP-417,2023-02-17,Proveedor 264,811.02
COMP-418,2024-04-20,Proveedor 400,495.07
COMP-419,2025-05-01,Proveedor 441,1058.72
COMP-420,2023-06-02,Proveedor 403,3837.78
COMP-421,2025-10-12,Proveedor 226,3284.31
COMP-422,2023-10-19,Proveedor 39,1857.1
COMP-423,2025-09-23,Proveedor 87,1934.67
COMP-424,2024-02-03,Proveedor 34,776.5
COMP-425,2024-05-14,Proveedor 274,1232.44
COMP-426,2023-10-10,Proveedor 478,4561.41
COMP-427,2025-03-13,Proveedor 117,3767.99
COMP-428,2024-02-26,Proveedor 402,3493.36
COMP-429,2023-07-03,Proveedor 4,4118.56
COMP-430,2023-10-23,Proveedor 474,3482.65
COMP-431,2025-10-15,Proveedor 235,4441.04
COMP-432,2025-07-11,Proveedor 96,3383.01
COMP-433,2024-05-16,Proveedor 431,1895.51
COMP-434,2025-09-26,Proveedor 178,2554.04
COMP-435,2024-10-04,Proveedor 422,81.48
COMP-436,2024-10-14,Proveedor 382,4167.32
COMP-437,2025-05-02,Proveedor 300,2108.86
COMP-438,2025-04-26,Proveedor 59,2461.81
COMP-439,2024-10-04,Proveedor 373,1369.39
COMP-440,2023-11-03,Proveedor 45,299.17
COMP-441,2024-11-30,Proveedor 89,1461.37
COMP-442,2023-05-14,Proveedor 213,4659.71
COMP-443,2023-06-04,Proveedor 1,3409.67
COMP-444,2025-08-29,Proveedor 309,458.2
COMP-445,2024-10-29,Proveedor 462,3076.97
COMP-446,2024-07-14,Proveedor 269,2209.26
COMP-447,2023-02-04,Proveedor 314,4421.92
COMP-448,2025-09-01,Proveedor 292,2721.18
COMP-449,2025-03-10,Proveedor 308,703.34
COMP-450,2023-05-05,Proveedor 54,4194.25
COMP-451,2024-04-19,Proveedor 322,4545.02
COMP-452,2025-03-03,Proveedor 104,3832.26
COMP-453,2024-06-22,Proveedor 427,3188.95
COMP-454,2025-07-11,Proveedor 347,771.01
COMP-455,2023-04-08,Proveedor 329,993.4
COMP-456,2025-08-31,Proveedor 425,3667.43
COMP-457,2025-01-28,Proveedor 108,2892.71
COMP-458,2023-05-06,Proveedor 262,1396.12
COMP-459,2024-02-05,Proveedor 415,3741.44
COMP-460,2024-06-23,Proveedor 113,2118.35
COMP-461,2025-10-03,Proveedor 461,4237.96
COMP-462,2024-07-06,Proveedor 455,2869.99
COMP-463,2024-11-30,Proveedor 418,1474.34
COMP-464,2025-09-08,Proveedor 132,2554.71
COMP-465,2024-04-05,Proveedor 229,1949.71
COMP-466,2024-05-30,Proveedor 92,1946.38
COMP-467,2023-11-08,Proveedor 89,1213.08
COMP-468,2023-01-27,Proveedor 191,4522.34
COMP-469,2023-02-05,Proveedor 462,4914.25
COMP-470,2024-11-30,Proveedor 157,4933.99
COMP-471,2024-11-16,Proveedor 54,3511.43
COMP-472,2025-10-25,Proveedor 296,3181.0
COMP-473,2023-02-26,Proveedor 468,1726.08
COMP-474,2024-04-27,Proveedor 211,3923.52
COMP-475,2023-12-24,Proveedor 255,330.02
COMP-476,2025-05-01,Proveedor 78,3857.02
COMP-477,2024-10-29,Proveedor 272,756.71
COMP-478,2025-05-30,Proveedor 61,2696.0
COMP-479,2025-02-22,Proveedor 401,3581.16
COMP-480,2025-04-06,Proveedor 57,2837.09
COMP-481,2025-05-24,Proveedor 385,1988.43
COMP-482,2023-04-24,Proveedor 274,4303.66
COMP-483,2025-03-27,Proveedor 382,1278.52
COMP-484,2025-02-14,Proveedor 110,3720.86
COMP-485,2025-04-25,Proveedor 207,2732.27
COMP-486,2025-05-25,Proveedor 485,3965.61
COMP-487,2023-06-05,Proveedor 181,1775.47
COMP-488,2023-05-17,Proveedor 477,2288.43
COMP-489,2024-10-04,Proveedor 185,4119.71
COMP-490,2023-08-31,Proveedor 182,2948.17
COMP-491,2024-06-07,Proveedor 444,544.44
COMP-492,2023-05-29,Proveedor 281,2436.47
COMP-493,2025-01-01,Proveedor 254,2659.36
COMP-494,2025-04-03,Proveedor 182,2558.25
COMP-495,2025-05-24,Proveedor 392,2890.85
COMP-496,2023-10-04,Proveedor 234,2019.11
COMP-497,2024-11-18,Proveedor 257,3636.33
COMP-498,2023-06-11,Proveedor 397,3897.66
COMP-499,2024-02-20,Proveedor 30,4764.82
COMP-500,2024-02-14,Proveedor 240,2025.68
COMP-501,2024-07-11,Proveedor 405,4731.01
COMP-502,2025-03-02,Proveedor 179,3545.23
COMP-503,2024-04-22,Proveedor 144,949.6
COMP-504,2024-09-08,Proveedor 332,2494.88
COMP-505,2025-06-25,Proveedor 484,1405.83
COMP-506,2025-08-10,Proveedor 125,4838.64
COMP-507,2023-06-30,Proveedor 285,1806.74
COMP-508,2024-10-28,Proveedor 110,1847.07
COMP-509,2023-06-16,Proveedor 293,3747.71
COMP-510,2023-11-12,Proveedor 91,4249.31
COMP-511,2023-11-01,Proveedor 116,4737.45
COMP-512,2023-12-28,Proveedor 331,2965.22
COMP-513,2025-03-08,Proveedor 167,4190.58
COMP-514,2024-09-12,Proveedor 221,3305.28
COMP-515,2023-12-25,Proveedor 76,3921.28
COMP-516,2024-10-25,Proveedor 212,2989.84
COMP-517,2023-08-04,Proveedor 219,336.56
COMP-518,2025-01-14,Proveedor 390,3066.21
COMP-519,2023-05-08,Proveedor 94,4291.51
COMP-520,2024-03-05,Proveedor 320,4955.08
COMP-521,2023-06-03,Proveedor 91,4596.73
COMP-522,2024-12-27,Proveedor 98,3579.66
COMP-523,2025-01-24,Proveedor 156,4567.25
COMP-524,2024-05-20,Proveedor 482,4028.86
COMP-525,2023-01-11,Proveedor 482,3641.22
COMP-526,2025-03-15,Proveedor 244,2425.96
COMP-527,2024-11-15,Proveedor 81,4905.13
COMP-528,2024-05-24,Proveedor 301,4762.9
COMP-529,2023-08-01,Proveedor 123,3305.46
COMP-530,2025-10-05,Proveedor 123,2308.56
COMP-531,2025-04-15,Proveedor 299,810.83
COMP-532,2025-07-18,Proveedor 310,2527.91
COMP-533,2024-10-16,Proveedor 23,760.55
COMP-534,2024-04-19,Proveedor 301,1946.55
COMP-535,2025-07-20,Proveedor 430,4891.99
COMP-536,2023-02-21,Proveedor 244,3881.46
COMP-537,2023-10-12,Proveedor 126,2781.13
COMP-538,2023-11-20,Proveedor 489,2500.57
COMP-539,2025-03-14,Proveedor 139,3778.46
COMP-540,2025-03-14,Proveedor 388,4474.3
